time, number of rows, filesize (MB)
2024-02-03 11:09:26.938676, 261775, 119.451648
2024-02-03 11:11:26.932101, 262514, 119.78752
2024-02-03 11:13:26.941110, 263248, 120.119296
2024-02-03 11:15:27.019624, 263993, 120.459264
2024-02-03 11:17:27.384498, 264736, 120.799232
2024-02-03 11:19:27.398882, 265499, 121.151488
2024-02-03 11:21:27.423894, 266288, 121.50784
2024-02-03 11:23:27.432935, 267094, 121.87648
2024-02-03 11:25:27.753584, 267899, 122.241024
2024-02-03 11:27:27.806518, 268697, 122.609664
2024-02-03 11:29:27.798937, 269492, 122.970112
2024-02-03 11:31:27.791802, 270290, 123.334656
2024-02-03 11:33:27.814058, 271091, 123.6992
2024-02-03 11:35:28.556302, 271893, 124.063744
2024-02-03 11:37:28.390701, 272701, 124.43648
2024-02-03 11:39:28.400108, 273514, 124.80512
2024-02-03 11:41:28.409788, 274338, 125.181952
2024-02-03 11:43:28.422060, 275169, 125.558784
2024-02-03 11:45:28.556602, 276002, 125.943808
2024-02-03 11:47:29.424657, 276835, 126.32064
2024-02-03 11:49:29.408749, 277667, 126.701568
2024-02-03 11:51:29.412409, 278509, 127.082496
2024-02-03 11:53:29.422574, 279358, 127.471616
2024-02-03 11:55:29.431761, 280219, 127.864832
2024-02-03 11:57:29.477498, 281082, 128.258048
2024-02-03 11:59:29.455821, 281948, 128.651264
2024-02-03 12:01:29.481300, 282828, 129.056768
2024-02-03 12:03:29.474579, 283702, 129.45408
2024-02-03 12:05:29.494249, 284575, 129.851392
2024-02-03 12:07:29.530710, 285435, 130.244608
2024-02-03 12:09:29.509731, 286296, 130.633728
2024-02-03 12:11:29.551431, 287160, 131.03104
2024-02-03 12:13:29.549023, 288024, 131.424256
2024-02-03 12:15:29.574371, 288879, 131.813376
2024-02-03 12:17:29.614748, 289744, 132.206592
2024-02-03 12:19:29.643940, 290602, 132.603904
2024-02-03 12:21:29.636889, 291456, 132.993024
2024-02-03 12:23:29.662578, 292302, 133.378048
